Rio,Minimo,Maximo,Promedio,Desviacion_Std,Rango_Incertidumbre
6 Tributarios,463.20287956669154,1268.6133455502938,754.7815447295965,306.380595417108,805.4104659836023
Salado,179.82291266032627,819.145929611273,369.67202700923656,264.89467179032886,639.3230169509468
Conchos,250.92996670103503,855.7438387568791,434.59507776778264,241.08417838941656,604.8138720558441
San Rodrigo,70.13962019036397,650.2683909369349,206.47620117357042,249.51602665116272,580.1287707465709
San Diego,48.35159208094328,104.22219294220196,72.0646657874084,20.3714132503967,55.87060086125868
Escondido,19.44956857898868,74.92857366698448,35.57368916746167,22.505363314177693,55.4790050879958
Vacas,11.927341120817314,47.0616772605905,22.432503492680773,14.261737523567758,35.13433613977318
