Rio,n,minimo,media,mediana,desviacion,maximo,asimetria,curtosis,coef_variacion
6 Tributarios,76,11.536992,143.86860005263156,76.70016666666668,195.98403736706956,1384.0203333333334,4.072273728733457,20.57693973772752,1.3622433060123793
Conchos,76,6.720666666666666,75.56603280701754,40.96933333333334,101.69255122109703,624.4473333333334,3.2717351058441015,12.27562883677401,1.3457442113019484
Escondido,76,0.127008,5.552418736842106,3.321833333333333,8.689507503160979,58.415333333333336,4.2922396399804175,21.201981619538806,1.5649949895715296
Salado,76,1.268928,49.400482070175435,19.048,111.44635319892528,877.986,5.8239456648107915,38.998171872348216,2.255977037645323
San Diego,76,1.3416666666666668,15.09269943859649,11.153833333333335,18.6455417553865,142.897,4.614473453176347,27.61514984539845,1.2354013827178152
San Rodrigo,76,0.0,18.632532385964915,6.702166666666666,38.80821317695925,268.2463333333333,4.768993444892881,25.14878806482804,2.0828201112475626
Vacas,76,0.13075200000000003,3.4142316140350877,1.4958333333333336,5.988651917368043,41.15233333333333,4.370784731807032,21.851684340296696,1.7540262625271614
