Rio,Distribucion,n,param_1_nombre,param_1,param_2_nombre,param_2,param_3_nombre,param_3
6 Tributarios,Gumbel_Momentos,76,u,55.66535540806085,alpha,152.8081270279654,,
6 Tributarios,Gumbel_MLE,76,loc,83.1243700950293,scale,82.62308258595151,,
6 Tributarios,Exponencial_1P,76,lambda,0.006950787035073457,scale,143.86860005263156,,
6 Tributarios,Exponencial_2P,76,loc,11.536992,lambda,0.0075567735835438115,scale,132.3316080526316
6 Tributarios,GEV_MLE,76,c,-0.600604113064738,loc,62.41185712654879,scale,48.80015641486395
Conchos,Gumbel_Momentos,76,u,29.798973946579544,alpha,79.28935689638111,,
Conchos,Gumbel_MLE,76,loc,42.21167804226591,scale,45.37206911546703,,
Conchos,Exponencial_1P,76,lambda,0.013233459040437191,scale,75.56603280701756,,
Conchos,Exponencial_2P,76,loc,6.720666666666666,lambda,0.014525305856626002,scale,68.84536614035088
Conchos,GEV_MLE,76,c,-0.6791351064407934,loc,29.822148958606107,scale,25.80101065269211
Escondido,Gumbel_Momentos,76,u,1.6416780130625135,alpha,6.775181204510641,,
Escondido,Gumbel_MLE,76,loc,2.9532606535488237,scale,3.5860375636116415,,
Escondido,Exponencial_1P,76,lambda,0.1801016903434668,scale,5.552418736842106,,
Escondido,Exponencial_2P,76,loc,0.127008,lambda,0.18431784218830521,scale,5.425410736842106
Escondido,GEV_MLE,76,c,-0.7174150979418934,loc,1.9036004806676392,scale,2.005827245496425
Salado,Gumbel_Momentos,76,u,-0.7563066561380651,alpha,86.89436509836048,,
Salado,Gumbel_MLE,76,loc,21.956266216087908,scale,34.31772289588502,,
Salado,Exponencial_1P,76,lambda,0.02024271744108607,scale,49.400482070175435,,
Salado,Exponencial_2P,76,loc,1.268928,lambda,0.020776391274256543,scale,48.13155407017544
Salado,GEV_MLE,76,c,-0.8811523153147449,loc,12.335964226546814,scale,12.561623561061737
San Diego,Gumbel_Momentos,76,u,6.701213565179902,alpha,14.537869263943792,,
San Diego,Gumbel_MLE,76,loc,9.246075690375573,scale,8.500923440253212,,
San Diego,Exponencial_1P,76,lambda,0.06625719965261513,scale,15.09269943859649,,
San Diego,Exponencial_2P,76,loc,1.3416666666666668,lambda,0.07272181054220989,scale,13.751032771929825
San Diego,GEV_MLE,76,c,-0.4581785481200108,loc,7.371155996788682,scale,6.138303349330332
San Rodrigo,Gumbel_Momentos,76,u,1.1667715666036926,alpha,30.258639675669727,,
San Rodrigo,Gumbel_MLE,76,loc,8.247253387499198,scale,13.45442587875221,,
San Rodrigo,Exponencial_1P,76,lambda,0.053669569937431424,scale,18.632532385964915,,
San Rodrigo,Exponencial_2P,76,loc,0.0,lambda,0.053669569937431424,scale,18.632532385964915
San Rodrigo,GEV_MLE,76,c,-1.0744338378895206,loc,3.6798334742612573,scale,4.993364647394857
Vacas,Gumbel_Momentos,76,u,0.7190196097560837,alpha,4.669332743673783,,
Vacas,Gumbel_MLE,76,loc,1.710858462044845,scale,2.2209024436216764,,
Vacas,Exponencial_1P,76,lambda,0.2928916702338646,scale,3.4142316140350872,,
Vacas,Exponencial_2P,76,loc,0.13075200000000003,lambda,0.3045549592345707,scale,3.2834796140350875
Vacas,GEV_MLE,76,c,-0.7776292673578395,loc,1.083228488335051,scale,1.028198682709303
