Rio,Distribucion,n,KS_stat,KS_pvalue,RMSE_prob,logLik,AIC,BIC,Q_T_2,Q_T_5,Q_T_10,Q_T_25,Q_T_50,Q_T_100
6 Tributarios,GEV_MLE,76,0.06674844981431932,0.8647364228784918,0.02337715023868737,-441.41656575957063,888.8331315191413,895.8253315400002,82.41910933662938,181.18118341560492,295.0783420525916,535.9589278998949,827.6287507564862,1268.6133455502938
Conchos,GEV_MLE,76,0.05382541175879013,0.9718657375260731,0.022420362641123678,-395.7017281326697,797.4034562653394,804.3956562861983,40.55949843308507,97.04667921018341,166.98284005424077,325.31212215823666,529.5266478783417,855.7438387568791
Escondido,GEV_MLE,76,0.08029586377265113,0.6809517332490017,0.03465284669709598,-202.66968204338704,411.3393640867741,418.3315641076331,2.744473283668181,7.308533566518111,13.157443426196743,26.84654294192534,45.05369831708906,74.92857366698448
Salado,GEV_MLE,76,0.04879167699339404,0.9895903293352144,0.02043576737448909,-350.1211982011803,706.2423964023606,713.2345964232195,17.77033527748815,51.535412702763786,101.63347543848829,236.86589526958088,441.8798233373572,819.145929611273
San Diego,Exponencial_2P,76,0.07657349718877793,0.7351359159660524,0.02732326305612436,-275.20465883030676,554.4093176606135,559.0707843411861,10.873156262317234,23.473100144934307,33.004589740584876,45.60453362320193,55.1360232188525,64.66751281450307
San Rodrigo,GEV_MLE,76,0.08404097267923061,0.6257815934352913,0.040444368690803846,-285.69510361377013,577.3902072275403,584.3824072483992,5.922663493140536,22.31956108636159,51.185666573237484,143.4818343432044,306.59880430673905,650.2683909369349
Vacas,GEV_MLE,76,0.044170211146231764,0.9969774771023372,0.016419336902215066,-155.3037645273625,316.607529054725,323.599729075584,1.5192668100324727,4.005875631627948,7.369500660017636,15.665276853067494,27.244222745486113,47.0616772605905
