Rio,Anio,Maximo_Anual
6 Tributarios,1950,47.604
6 Tributarios,1951,51.38600000000001
6 Tributarios,1952,83.84443333333333
6 Tributarios,1953,145.845
6 Tributarios,1954,58.384106666666675
6 Tributarios,1955,89.91866666666667
6 Tributarios,1956,28.373333333333335
6 Tributarios,1957,67.77166666666668
6 Tributarios,1958,693.9926666666667
6 Tributarios,1959,67.01700000000001
6 Tributarios,1960,92.71733333333334
6 Tributarios,1961,145.96933333333337
6 Tributarios,1962,61.954333333333324
6 Tributarios,1963,60.123000000000005
6 Tributarios,1964,130.947
6 Tributarios,1965,36.189
6 Tributarios,1966,263.183
6 Tributarios,1967,283.4846666666667
6 Tributarios,1968,212.75123333333332
6 Tributarios,1969,57.517100000000006
6 Tributarios,1970,90.28766666666667
6 Tributarios,1971,391.6783333333333
6 Tributarios,1972,138.0473333333333
6 Tributarios,1973,110.60166666666667
6 Tributarios,1974,169.813
6 Tributarios,1975,202.0283333333333
6 Tributarios,1976,398.2286666666667
6 Tributarios,1977,60.852999999999994
6 Tributarios,1978,357.5326666666666
6 Tributarios,1979,133.76233333333334
6 Tributarios,1980,137.471
6 Tributarios,1981,212.57866666666666
6 Tributarios,1982,65.63333333333333
6 Tributarios,1983,34.212333333333326
6 Tributarios,1984,71.96806666666666
6 Tributarios,1985,62.447
6 Tributarios,1986,193.945
6 Tributarios,1987,116.99466666666667
6 Tributarios,1988,233.3516666666667
6 Tributarios,1989,40.1423
6 Tributarios,1990,252.214
6 Tributarios,1991,463.3003333333333
6 Tributarios,1992,154.9783333333333
6 Tributarios,1993,109.84033333333333
6 Tributarios,1994,37.212666666666664
6 Tributarios,1995,39.516666666666666
6 Tributarios,1996,48.86233333333333
6 Tributarios,1997,27.043
6 Tributarios,1998,55.97233333333333
6 Tributarios,1999,54.796
6 Tributarios,2000,36.702
6 Tributarios,2001,26.552
6 Tributarios,2002,67.04566666666668
6 Tributarios,2003,118.23433333333332
6 Tributarios,2004,115.63033333333334
6 Tributarios,2005,74.48066666666668
6 Tributarios,2006,116.55366666666666
6 Tributarios,2007,57.263333333333335
6 Tributarios,2008,694.8010000000002
6 Tributarios,2009,59.120000000000005
6 Tributarios,2010,1384.0203333333334
6 Tributarios,2011,49.510000000000005
6 Tributarios,2012,23.492700000000003
6 Tributarios,2013,134.41133333333335
6 Tributarios,2014,114.153
6 Tributarios,2015,53.59033333333333
6 Tributarios,2016,60.57333333333332
6 Tributarios,2017,191.7253333333333
6 Tributarios,2018,78.91966666666667
6 Tributarios,2019,21.447
6 Tributarios,2020,39.486816
6 Tributarios,2021,11.536992
6 Tributarios,2022,185.77468800000005
6 Tributarios,2023,15.851808000000002
6 Tributarios,2024,20.758464000000004
6 Tributarios,2025,38.092896
Conchos,1950,41.528
Conchos,1951,21.750666666666667
Conchos,1952,82.64466666666667
Conchos,1953,9.662333333333333
Conchos,1954,54.24266666666667
Conchos,1955,60.54633333333334
Conchos,1956,11.906
Conchos,1957,30.381333333333334
Conchos,1958,399.36966666666666
Conchos,1959,57.038333333333334
Conchos,1960,82.872
Conchos,1961,27.46066666666667
Conchos,1962,42.117
Conchos,1963,32.71966666666667
Conchos,1964,26.40433333333333
Conchos,1965,26.846
Conchos,1966,250.04433333333336
Conchos,1967,55.915333333333336
Conchos,1968,192.70366666666666
Conchos,1969,53.98266666666667
Conchos,1970,61.586000000000006
Conchos,1971,37.55233333333333
Conchos,1972,108.164
Conchos,1973,100.18366666666667
Conchos,1974,126.416
Conchos,1975,82.73366666666666
Conchos,1976,66.36966666666667
Conchos,1977,35.965333333333334
Conchos,1978,269.709
Conchos,1979,57.550999999999995
Conchos,1980,54.489666666666665
Conchos,1981,113.901
Conchos,1982,40.988
Conchos,1983,28.189333333333334
Conchos,1984,70.52266666666667
Conchos,1985,40.95066666666667
Conchos,1986,118.47466666666666
Conchos,1987,46.062666666666665
Conchos,1988,67.66833333333334
Conchos,1989,35.70633333333333
Conchos,1990,236.19466666666665
Conchos,1991,428.51533333333333
Conchos,1992,120.61433333333333
Conchos,1993,99.20433333333334
Conchos,1994,31.037666666666667
Conchos,1995,6.720666666666666
Conchos,1996,39.30433333333333
Conchos,1997,17.984333333333336
Conchos,1998,7.7763333333333335
Conchos,1999,9.232666666666667
Conchos,2000,26.813
Conchos,2001,15.425333333333334
Conchos,2002,10.566666666666666
Conchos,2003,24.45566666666667
Conchos,2004,33.638666666666666
Conchos,2005,12.741333333333332
Conchos,2006,85.55066666666666
Conchos,2007,20.673333333333336
Conchos,2008,624.4473333333334
Conchos,2009,34.122
Conchos,2010,43.55133333333333
Conchos,2011,19.596333333333334
Conchos,2012,20.415
Conchos,2013,90.15833333333335
Conchos,2014,104.45966666666668
Conchos,2015,18.483999999999998
Conchos,2016,36.507
Conchos,2017,117.748
Conchos,2018,17.541999999999998
Conchos,2019,13.406333333333334
Conchos,2020,34.11072
Conchos,2021,8.953344000000001
Conchos,2022,157.68576000000002
Conchos,2023,9.030816000000002
Conchos,2024,8.365535999999997
Conchos,2025,34.665984
Vacas,1950,0.498
Vacas,1951,2.093
Vacas,1952,0.6023333333333334
Vacas,1953,0.7713333333333333
Vacas,1954,5.053
Vacas,1955,0.26533333333333337
Vacas,1956,0.967
Vacas,1957,6.8276666666666666
Vacas,1958,3.7313333333333336
Vacas,1959,1.2756666666666667
Vacas,1960,1.4373333333333334
Vacas,1961,25.706
Vacas,1962,0.2763333333333333
Vacas,1963,0.42966666666666664
Vacas,1964,20.37966666666667
Vacas,1965,0.6923333333333334
Vacas,1966,1.5356666666666667
Vacas,1967,1.5446666666666669
Vacas,1968,0.6416666666666667
Vacas,1969,8.406
Vacas,1970,3.828
Vacas,1971,5.617
Vacas,1972,0.944
Vacas,1973,1.437
Vacas,1974,3.044333333333333
Vacas,1975,5.8180000000000005
Vacas,1976,6.746666666666666
Vacas,1977,0.9683333333333333
Vacas,1978,1.1736666666666666
Vacas,1979,1.6766666666666667
Vacas,1980,8.177333333333333
Vacas,1981,2.513
Vacas,1982,0.25866666666666666
Vacas,1983,2.5166666666666666
Vacas,1984,1.2493333333333334
Vacas,1985,1.0686666666666667
Vacas,1986,2.0403333333333333
Vacas,1987,3.1776666666666666
Vacas,1988,0.511
Vacas,1989,1.2313333333333334
Vacas,1990,2.4263333333333335
Vacas,1991,4.652333333333334
Vacas,1992,1.8846666666666667
Vacas,1993,1.0603333333333333
Vacas,1994,0.9443333333333334
Vacas,1995,2.800333333333333
Vacas,1996,1.9886666666666668
Vacas,1997,0.739
Vacas,1998,10.655666666666667
Vacas,1999,1.4560000000000002
Vacas,2000,0.611
Vacas,2001,0.9236666666666666
Vacas,2002,7.015999999999999
Vacas,2003,1.37
Vacas,2004,2.884
Vacas,2005,4.417
Vacas,2006,0.35366666666666663
Vacas,2007,1.4233333333333331
Vacas,2008,3.3196666666666665
Vacas,2009,0.3913333333333333
Vacas,2010,41.15233333333333
Vacas,2011,0.6733333333333333
Vacas,2012,3.295666666666667
Vacas,2013,0.4726666666666666
Vacas,2014,9.502
Vacas,2015,1.1716666666666666
